Training on device: cuda
Epoch 1/10 | total=2.6791e+00 | data=1.1020e+00 | eq=9.9518e-03 | bc=6.7741e-01 | ic=8.8965e-01 | val_data=1.9382e-01
Epoch 2/10 | total=1.8625e-01 | data=1.6679e-01 | eq=6.8898e-06 | bc=7.7358e-03 | ic=1.1713e-02 | val_data=1.5290e-01
Epoch 3/10 | total=1.5791e-01 | data=1.4697e-01 | eq=2.3967e-06 | bc=3.3865e-03 | ic=7.5534e-03 | val_data=1.4160e-01
Epoch 4/10 | total=1.4646e-01 | data=1.3922e-01 | eq=4.1084e-06 | bc=1.9478e-03 | ic=5.2807e-03 | val_data=1.3736e-01
Epoch 5/10 | total=1.4276e-01 | data=1.3663e-01 | eq=2.2386e-06 | bc=1.9177e-03 | ic=4.2172e-03 | val_data=1.3579e-01
Epoch 6/10 | total=1.4118e-01 | data=1.3560e-01 | eq=2.5308e-06 | bc=1.4150e-03 | ic=4.1604e-03 | val_data=1.3590e-01
Epoch 7/10 | total=9.6914e-01 | data=7.7309e-01 | eq=6.2393e-02 | bc=4.3199e-02 | ic=9.0452e-02 | val_data=2.1978e-01
Epoch 8/10 | total=1.8166e-01 | data=1.7543e-01 | eq=1.3556e-04 | bc=2.2659e-03 | ic=3.8311e-03 | val_data=1.5513e-01
Epoch 9/10 | total=1.5193e-01 | data=1.4774e-01 | eq=3.8032e-06 | bc=1.6835e-03 | ic=2.5085e-03 | val_data=1.4315e-01
Epoch 10/10 | total=1.4453e-01 | data=1.4022e-01 | eq=5.8812e-06 | bc=1.3142e-03 | ic=2.9925e-03 | val_data=1.3786e-01
Gemte bedste model til /home/andreas_a/Desktop/Bachelorprojekt/SciML/data/trained_pinn_2026-04-26_23-11-35.pt
